term,lev,time,estimate,r.squared,adj.r.squared
full,700,1969-07-01T00:00:00Z,-0.861563279589573,0.0603990845440016,0.0601739765144242
sym,700,1969-07-01T00:00:00Z,-0.0118219408841981,1.4098277154484e-05,-0.000225476687321535
asym,700,1969-07-01T00:00:00Z,-0.849741338705375,0.303816814196169,0.303650023782704
full,50,1969-07-01T00:00:00Z,-0.507417798239089,0.0235464766927103,0.0233125395764412
sym,50,1969-07-01T00:00:00Z,-0.226331993963379,0.00566589425622621,0.00542767333966088
asym,50,1969-07-01T00:00:00Z,-0.2810858042757,0.0417261245914802,0.041496542925115
full,700,1969-07-02T00:00:00Z,-0.220911685273315,0.00440111329934756,0.00416258936865754
sym,700,1969-07-02T00:00:00Z,0.475568462926459,0.0252862104329109,0.0250526901191669
asym,700,1969-07-02T00:00:00Z,-0.696480148199777,0.226216861853588,0.226031480172192
full,50,1969-07-02T00:00:00Z,-0.949010553017664,0.0790340455310949,0.0788134020345762
sym,50,1969-07-02T00:00:00Z,-0.556483414167652,0.0328668895831239,0.0326351854359229
asym,50,1969-07-02T00:00:00Z,-0.392527138849993,0.0780813282137762,0.0778604564668222
full,700,1969-07-03T00:00:00Z,0.581453431875155,0.03200608105341,0.0317741706751286
sym,700,1969-07-03T00:00:00Z,0.992295330287244,0.115562519628308,0.115350627563054
asym,700,1969-07-03T00:00:00Z,-0.410841898412089,0.0826293614702877,0.082409579333601
full,50,1969-07-03T00:00:00Z,-0.881153485572486,0.0854803053982201,0.0852612062859531
sym,50,1969-07-03T00:00:00Z,-0.414537456971767,0.0228808694260581,0.0226467728447035
asym,50,1969-07-03T00:00:00Z,-0.466616028600703,0.138426082990485,0.138219668539836
full,700,1969-07-04T00:00:00Z,0.711102381015442,0.0455325626204421,0.0453038928941892
sym,700,1969-07-04T00:00:00Z,0.984414992216231,0.108179943190256,0.107966282419578
asym,700,1969-07-04T00:00:00Z,-0.273312611200787,0.0347823954467322,0.0345511502132503
full,50,1969-07-04T00:00:00Z,-0.397273573046995,0.022954163943556,0.0227200849219804
sym,50,1969-07-04T00:00:00Z,-0.196780101593684,0.00681124518914056,0.00657329867385292
asym,50,1969-07-04T00:00:00Z,-0.200493471453305,0.0337612317501208,0.0335297418679335
full,700,1969-07-05T00:00:00Z,0.84331031608186,0.0673080579324271,0.0670846051432398
sym,700,1969-07-05T00:00:00Z,0.898996514333105,0.0948289042372474,0.0946120448467915
asym,700,1969-07-05T00:00:00Z,-0.0556861982512419,0.00151764323343029,0.00127842848576221
full,50,1969-07-05T00:00:00Z,0.118936438366967,0.00169143190696863,0.00145225879530275
sym,50,1969-07-05T00:00:00Z,-0.106666156492566,0.00164535638299979,0.00140617223263628
asym,50,1969-07-05T00:00:00Z,0.225602594859535,0.0351437845193008,0.0349126258668138
full,700,1969-07-06T00:00:00Z,0.826779513129486,0.0614048214935008,0.0611799544167144
sym,700,1969-07-06T00:00:00Z,0.546325606619416,0.0332398194303335,0.0330082046290471
asym,700,1969-07-06T00:00:00Z,0.280453906510073,0.0365366197281106,0.0363057947687738
full,50,1969-07-06T00:00:00Z,0.191837163403302,0.00341326972661982,0.00317450913000417
sym,50,1969-07-06T00:00:00Z,-0.304808494852257,0.0104217651031535,0.0101846835902411
asym,50,1969-07-06T00:00:00Z,0.496645658255564,0.132109513330425,0.131901585566489
full,700,1969-07-07T00:00:00Z,0.715445760915222,0.0428977265401544,0.0426684255642418
sym,700,1969-07-07T00:00:00Z,0.173783753103365,0.00313784635081193,0.00289901976872065
asym,700,1969-07-07T00:00:00Z,0.541662007811857,0.127151039473505,0.126941923766623
full,50,1969-07-07T00:00:00Z,0.0439455568343042,0.000165781654099972,-7.37569703239682e-05
sym,50,1969-07-07T00:00:00Z,-0.450792958855549,0.0210980734454251,0.0208635497447652
asym,50,1969-07-07T00:00:00Z,0.49473851568986,0.121337112092092,0.121126603494126
full,700,1969-07-08T00:00:00Z,0.652555993991905,0.0338981930573128,0.0336667359880885
sym,700,1969-07-08T00:00:00Z,-0.0343024884164164,0.000116124730147882,-0.000123425790999665
asym,700,1969-07-08T00:00:00Z,0.686858482408324,0.194203848483649,0.194010797177584
full,50,1969-07-08T00:00:00Z,-0.0809929144469428,0.000454643590401815,0.000215174171041554
sym,50,1969-07-08T00:00:00Z,-0.645060036522929,0.0348786221015659,0.0346473999219065
asym,50,1969-07-08T00:00:00Z,0.564067122076003,0.12734276572801,0.127133695954586
full,700,1969-07-09T00:00:00Z,0.789531068606415,0.0581390143938313,0.0579133649003943
sym,700,1969-07-09T00:00:00Z,0.261400341688728,0.00790085334831203,0.00766316787954069
asym,700,1969-07-09T00:00:00Z,0.528130726917688,0.134522337513611,0.134314987810092
full,50,1969-07-09T00:00:00Z,-0.202532918636641,0.00277904744186885,0.0025401348993298
sym,50,1969-07-09T00:00:00Z,-0.769934146371097,0.0485728858701173,0.048344944539468
asym,50,1969-07-09T00:00:00Z,0.567401227734476,0.125956605048654,0.125747203181153
full,700,1969-07-10T00:00:00Z,1.43142226758535,0.157883926392345,0.157682173619559
sym,700,1969-07-10T00:00:00Z,0.965667670009788,0.0890820590024638,0.0888638227923542
asym,700,1969-07-10T00:00:00Z,0.465754597575564,0.086436863470591,0.0862179935289212
full,50,1969-07-10T00:00:00Z,0.265411057698308,0.00435405561305446,0.00411552040836183
sym,50,1969-07-10T00:00:00Z,-0.439420627568429,0.014434403896269,0.0141982837247062
asym,50,1969-07-10T00:00:00Z,0.704831685266744,0.177321938629504,0.177124842783465
full,700,1969-07-11T00:00:00Z,1.87224678239914,0.25614040932126,0.255962196673757
sym,700,1969-07-11T00:00:00Z,1.49923316514855,0.203621089963875,0.203430294824911
asym,700,1969-07-11T00:00:00Z,0.373013617250589,0.0525755232962949,0.0523485409108844
full,50,1969-07-11T00:00:00Z,0.694626462960539,0.0330139777570848,0.0327823088490247
sym,50,1969-07-11T00:00:00Z,0.0638691807968298,0.000337566953259594,9.8069484872676e-05
asym,50,1969-07-11T00:00:00Z,0.630757282163704,0.157201048200947,0.156999131825336
full,700,1969-07-12T00:00:00Z,1.60769747281104,0.217634337290324,0.217446899421922
sym,700,1969-07-12T00:00:00Z,1.1047339724588,0.127399188271068,0.127190132015263
asym,700,1969-07-12T00:00:00Z,0.502963500352246,0.110147340702804,0.109934151277961
full,50,1969-07-12T00:00:00Z,0.891275825265438,0.0694322164900092,0.0692092726032075
sym,50,1969-07-12T00:00:00Z,0.27486673747355,0.0079866228744101,0.00774895795415964
