term,lev,time,estimate,r.squared,adj.r.squared
full,700,1984-08-01T00:00:00Z,0.334981117654748,0.00859447520479106,0.00835695591279417
sym,700,1984-08-01T00:00:00Z,0.385192926869257,0.0140885986959932,0.0138523956769936
asym,700,1984-08-01T00:00:00Z,-0.0502118092145091,0.000998556783097126,0.000759217673557799
full,50,1984-08-01T00:00:00Z,0.0650753044852979,0.000827834819366435,0.000588454808542194
sym,50,1984-08-01T00:00:00Z,0.0231115587709838,0.000126285001526671,-0.000113263085439907
asym,50,1984-08-01T00:00:00Z,0.0419637457143129,0.00198790419713124,0.00174880211380524
full,700,1984-08-02T00:00:00Z,0.0152827026437963,1.54057982185707e-05,-0.000224168853003803
sym,700,1984-08-02T00:00:00Z,0.518647734963691,0.0219968925284086,0.0217625841653345
asym,700,1984-08-02T00:00:00Z,-0.503365032319896,0.0864235859152833,0.0862047127925989
full,50,1984-08-02T00:00:00Z,-0.152400504607187,0.00310847070683007,0.00286963708697063
sym,50,1984-08-02T00:00:00Z,-0.0755823449952495,0.000924691190640425,0.000685334384505021
asym,50,1984-08-02T00:00:00Z,-0.0768181596119346,0.00456076243954462,0.00432227675733077
full,700,1984-08-03T00:00:00Z,-0.685604258495544,0.030271849182244,0.0300395233195661
sym,700,1984-08-03T00:00:00Z,0.132108478683017,0.00139343207633058,0.00115418757035934
asym,700,1984-08-03T00:00:00Z,-0.817712737178563,0.22267721501354,0.222490985309423
full,50,1984-08-03T00:00:00Z,-0.397408523568841,0.0169119517471483,0.0166764251423921
sym,50,1984-08-03T00:00:00Z,-0.153714826145715,0.00306008097676724,0.00282123576377658
asym,50,1984-08-03T00:00:00Z,-0.243693697423121,0.0367234653580959,0.0364926851629254
full,700,1984-08-04T00:00:00Z,-1.02106907541824,0.0707974432531748,0.0705748264451377
sym,700,1984-08-04T00:00:00Z,-0.249105601965447,0.00522404367181317,0.00498571689741734
asym,700,1984-08-04T00:00:00Z,-0.771963473452791,0.209258519584402,0.20906907505148
full,50,1984-08-04T00:00:00Z,-0.598826149879008,0.0428313751744506,0.0426020583021876
sym,50,1984-08-04T00:00:00Z,-0.253995533526913,0.00931954458767514,0.0090821990065989
asym,50,1984-08-04T00:00:00Z,-0.344830616352085,0.0820177454047768,0.0817978167381273
full,700,1984-08-05T00:00:00Z,-1.41529901571845,0.135008106238686,0.134800872914834
sym,700,1984-08-05T00:00:00Z,-0.852524526675992,0.0607308952790022,0.0605058667440907
asym,700,1984-08-05T00:00:00Z,-0.562774489042463,0.110386142890964,0.110173010677953
full,50,1984-08-05T00:00:00Z,-0.745044597472664,0.0902258387985555,0.0900078766133132
sym,50,1984-08-05T00:00:00Z,-0.40136438227224,0.0316683965961154,0.0314364053159516
asym,50,1984-08-05T00:00:00Z,-0.343680215200408,0.110869257102605,0.110656240633296
full,700,1984-08-06T00:00:00Z,-1.4609514814557,0.137470778565421,0.137264135244521
sym,700,1984-08-06T00:00:00Z,-0.958478441247302,0.0733560582106647,0.0731340543913572
asym,700,1984-08-06T00:00:00Z,-0.502473040208397,0.0840904455599828,0.0838710134674001
full,50,1984-08-06T00:00:00Z,-0.755993786360453,0.0954260569358286,0.0952093406102263
sym,50,1984-08-06T00:00:00Z,-0.518346894481379,0.0542567225055888,0.0540301428990976
asym,50,1984-08-06T00:00:00Z,-0.237646891879057,0.0544540881379891,0.0542275558160289
full,700,1984-08-07T00:00:00Z,-0.936769054515131,0.0560910930196169,0.0558649528885723
sym,700,1984-08-07T00:00:00Z,-0.532730914843426,0.0224893609220957,0.0222551705437829
asym,700,1984-08-07T00:00:00Z,-0.404038139671707,0.053958003855435,0.0537313526824248
full,50,1984-08-07T00:00:00Z,-0.758919315913254,0.0762722612387665,0.0760509560785457
sym,50,1984-08-07T00:00:00Z,-0.551685806106825,0.0487462326401353,0.0485183328396178
asym,50,1984-08-07T00:00:00Z,-0.207233509806413,0.0328421106248148,0.0326104005411121
full,700,1984-08-08T00:00:00Z,-0.435900361102559,0.011550001380511,0.0113131901685752
sym,700,1984-08-08T00:00:00Z,-0.234501928410061,0.00414412549186927,0.00390553999246635
asym,700,1984-08-08T00:00:00Z,-0.201398432692503,0.0127497617456191,0.0125132379702827
full,50,1984-08-08T00:00:00Z,-0.708766023732251,0.057749818571347,0.0575240758350201
sym,50,1984-08-08T00:00:00Z,-0.628521826764244,0.0549246879578872,0.0546982683814516
asym,50,1984-08-08T00:00:00Z,-0.0802441969679884,0.0042747212433244,0.00403616703183507
full,700,1984-08-09T00:00:00Z,-0.0326739052799659,6.79006574991758e-05,-0.000171661417091906
sym,700,1984-08-09T00:00:00Z,0.0877596573797178,0.000607287314144278,0.000367854464914386
asym,700,1984-08-09T00:00:00Z,-0.120433562659686,0.00477033933662507,0.00453190386449687
full,50,1984-08-09T00:00:00Z,-0.590657661966341,0.0357288800017893,0.0354978615255079
sym,50,1984-08-09T00:00:00Z,-0.647066053418179,0.0518593391456694,0.0516321851780475
asym,50,1984-08-09T00:00:00Z,0.056408391451858,0.00188178860919797,0.00164266110287536
full,700,1984-08-10T00:00:00Z,0.406440311641458,0.0111354766136318,0.0108985660905397
sym,700,1984-08-10T00:00:00Z,0.387046707065652,0.0125191399761964,0.0122825609488787
asym,700,1984-08-10T00:00:00Z,0.0193936045758061,0.00013110360963231,-0.000108443322900165
full,50,1984-08-10T00:00:00Z,-0.474634756151913,0.0209923695852242,0.0207578205602087
sym,50,1984-08-10T00:00:00Z,-0.592384964729696,0.03954872352393,0.0393186201994269
asym,50,1984-08-10T00:00:00Z,0.117750208577805,0.00746107568269994,0.0072232848527245
full,700,1984-08-11T00:00:00Z,0.455196375011402,0.0155977382591368,0.0153618967972918
sym,700,1984-08-11T00:00:00Z,0.424799624706928,0.0168408795648779,0.016605335932766
asym,700,1984-08-11T00:00:00Z,0.0303967503044736,0.000359667062688085,0.000120174889008728
full,50,1984-08-11T00:00:00Z,-0.534348111391967,0.0238431883391511,0.0236093223085664
sym,50,1984-08-11T00:00:00Z,-0.528215380493051,0.0281786306298616,0.0279458032773531
asym,50,1984-08-11T00:00:00Z,-0.00613273089889943,1.81367419764822e-05,-0.000221437254970702
full,700,1984-08-12T00:00:00Z,0.252548491076107,0.00510253691554163,0.00486418103075847
sym,700,1984-08-12T00:00:00Z,0.25372791279522,0.00638506872140732,0.00614702010346813
asym,700,1984-08-12T00:00:00Z,-0.00117942171911339,5.75462673624294e-07,-0.000239002741575733
full,50,1984-08-12T00:00:00Z,-0.577013388786175,0.0271646242858544,0.0269315539993872
sym,50,1984-08-12T00:00:00Z,-0.466488249815334,0.0214731306533404,0.0212386968082646
asym,50,1984-08-12T00:00:00Z,-0.110525138970823,0.00575558864052417,0.00551738921279077
full,700,1984-08-13T00:00:00Z,0.0686699083609668,0.000370932410790115,0.000131442936044279
sym,700,1984-08-13T00:00:00Z,-0.00110605515133728,1.19302046908132e-07,-0.000239459011488696
asym,700,1984-08-13T00:00:00Z,0.0697759635123032,0.0019804133650837,0.00174130948711659
full,50,1984-08-13T00:00:00Z,-0.750641441121396,0.0471250990459644,0.0468968108569481
sym,50,1984-08-13T00:00:00Z,-0.553798087052393,0.0310221669866301,0.0307900208838477
asym,50,1984-08-13T00:00:00Z,-0.196843354068983,0.0187139041399559,0.0184788092439664
full,700,1984-08-14T00:00:00Z,0.313853549371186,0.00697380603897368,0.00673589846974498
sym,700,1984-08-14T00:00:00Z,-0.178930220645994,0.00281006038845344,0.00257115527594465
asym,700,1984-08-14T00:00:00Z,0.49278377001718,0.0889018676147257,0.0886835882346622
full,50,1984-08-14T00:00:00Z,-0.696565085128832,0.0506170171384382,0.0503895655373694
sym,50,1984-08-14T00:00:00Z,-0.405702450397975,0.020766840783958,0.0205322377271261
asym,50,1984-08-14T00:00:00Z,-0.290862634730842,0.0509664868006624,0.0507391189249559
full,700,1984-08-15T00:00:00Z,0.317706445978739,0.00715093967170133,0.00691307453985457
sym,700,1984-08-15T00:00:00Z,-0.595477239670598,0.0311439631773123,0.0309118462542594
asym,700,1984-08-15T00:00:00Z,0.913183685649343,0.305498911525522,0.305332524106146
full,50,1984-08-15T00:00:00Z,-0.350315763882352,0.0130086495003166,0.0127721877488792
sym,50,1984-08-15T00:00:00Z,-0.29947117028557,0.0114975396944064,0.0112607159137869
asym,50,1984-08-15T00:00:00Z,-0.0508445935967716,0.00158247951785284,0.00134328030355435
full,700,1984-08-16T00:00:00Z,0.144645512116044,0.00144548694477387,0.0012062549100218
sym,700,1984-08-16T00:00:00Z,-0.888468864858513,0.067611591021974,0.0673882109527412
asym,700,1984-08-16T00:00:00Z,1.03311437697456,0.381314548064234,0.381166324429366
full,50,1984-08-16T00:00:00Z,-0.151925273315531,0.00179640042006712,0.00155725245658367
sym,50,1984-08-16T00:00:00Z,-0.440769632326164,0.0182872521396513,0.018052055027083
asym,50,1984-08-16T00:00:00Z,0.288844359010645,0.0374978667829761,0.037267272117615
full,700,1984-08-17T00:00:00Z,0.286427296086579,0.00538427575593103,0.0051459873696722
sym,700,1984-08-17T00:00:00Z,-0.667832332528228,0.0362882356337857,0.0360573511669994
asym,700,1984-08-17T00:00:00Z,0.95425962861481,0.309039439091892,0.30887389990624
full,50,1984-08-17T00:00:00Z,0.0933152247280446,0.000512603194067096,0.000273147660572626
sym,50,1984-08-17T00:00:00Z,-0.493104779543197,0.0173115815701207,0.0170761507080148
asym,50,1984-08-17T00:00:00Z,0.586420004271254,0.116904043977975,0.1166924733129
full,700,1984-08-18T00:00:00Z,0.178823893447442,0.00222298479544525,0.00198393903233918
sym,700,1984-08-18T00:00:00Z,-0.551301486649826,0.0261936614209413,0.0259603585128007
asym,700,1984-08-18T00:00:00Z,0.73012538009727,0.191629606551511,0.191435938512831
full,50,1984-08-18T00:00:00Z,0.320271966715686,0.00541202116587158,0.00517373942681221
sym,50,1984-08-18T00:00:00Z,-0.406147728131614,0.0105262024002339,0.0102891459082359
asym,50,1984-08-18T00:00:00Z,0.726419694847307,0.160780190712688,0.160579131822106
full,700,1984-08-19T00:00:00Z,-0.100576660143693,0.000711703341311432,0.000472295507900178
sym,700,1984-08-19T00:00:00Z,-0.614896897298222,0.0329793180507342,0.0327476408389591
asym,700,1984-08-19T00:00:00Z,0.51432023715453,0.0962396707770406,0.0960231493756934
full,50,1984-08-19T00:00:00Z,0.234043290452256,0.00379090897102219,0.00355223884859079
sym,50,1984-08-19T00:00:00Z,-0.363321744774407,0.011048816852208,0.0108118855673139
asym,50,1984-08-19T00:00:00Z,0.597365035226671,0.142615342510787,0.142409931715989
full,700,1984-08-20T00:00:00Z,-0.139125946951392,0.00133772562593038,0.0010984677739001
sym,700,1984-08-20T00:00:00Z,-0.400386284040044,0.0137354105729065,0.013499122937682
asym,700,1984-08-20T00:00:00Z,0.261260337088653,0.0243938339544934,0.0241600998466721
full,50,1984-08-20T00:00:00Z,0.0714245741306368,0.000488090649101269,0.000248629242931897
sym,50,1984-08-20T00:00:00Z,-0.364786864515806,0.015398044783577,0.0151621554795003
asym,50,1984-08-20T00:00:00Z,0.436211438646452,0.105132006586422,0.104917615596146
full,700,1984-08-21T00:00:00Z,-0.271269629077178,0.00500472479081826,0.00476634547236865
sym,700,1984-08-21T00:00:00Z,-0.259194862113774,0.0056645199835631,0.00542629873775191
asym,700,1984-08-21T00:00:00Z,-0.0120747669634054,5.12764189107839e-05,-0.000188289638487493
full,50,1984-08-21T00:00:00Z,-0.284722683575359,0.00783293621370873,0.00759523447346289
sym,50,1984-08-21T00:00:00Z,-0.386005954141251,0.0174120733352627,0.0171766665488073
asym,50,1984-08-21T00:00:00Z,0.101283270565905,0.00572389386991046,0.00548568684879647
full,700,1984-08-22T00:00:00Z,-0.800239606026917,0.0442894021718485,0.0440604346112764
sym,700,1984-08-22T00:00:00Z,-0.589584029970184,0.0298046234581588,0.0295721856583164
asym,700,1984-08-22T00:00:00Z,-0.210655576056733,0.0158704035693001,0.0156346274321582
full,50,1984-08-22T00:00:00Z,-0.609574105117494,0.0344469250815589,0.0342155994766431
sym,50,1984-08-22T00:00:00Z,-0.570268121645704,0.0364617624874528,0.0362309195939423
asym,50,1984-08-22T00:00:00Z,-0.0393059834717753,0.00082708560285194,0.000587705412531503
full,700,1984-08-23T00:00:00Z,-1.39875368276587,0.13103445277878,0.130826267453619
sym,700,1984-08-23T00:00:00Z,-0.939467309904036,0.0732822578654275,0.0730602363651557
asym,700,1984-08-23T00:00:00Z,-0.459286372861841,0.0730554215334184,0.0728333456880742
full,50,1984-08-23T00:00:00Z,-0.687754801987802,0.0632665509537159,0.063042129906987
sym,50,1984-08-23T00:00:00Z,-0.692182143340417,0.0775049973788903,0.0772839875555502
asym,50,1984-08-23T00:00:00Z,0.00442734135263481,1.51400949114366e-05,-0.000224434619967573
full,700,1984-08-24T00:00:00Z,-1.10141574689645,0.0888033954418633,0.0885850924699998
sym,700,1984-08-24T00:00:00Z,-0.630420512807404,0.0360678424169056,0.0358369051486778
asym,700,1984-08-24T00:00:00Z,-0.470995234089044,0.0839735187529808,0.0837540586472676
full,50,1984-08-24T00:00:00Z,-0.74036045018305,0.0941651225028501,0.0939481040846668
