term,lev,time,estimate,r.squared,adj.r.squared
full,700,1961-03-01T00:00:00Z,-0.33452216087113,0.0117774967493919,0.0115407400404194
sym,700,1961-03-01T00:00:00Z,-0.535161585671427,0.0373684902990512,0.0371378646378866
asym,700,1961-03-01T00:00:00Z,0.200639424800296,0.0219087738243812,0.021674444349974
full,50,1961-03-01T00:00:00Z,-0.375806326540358,0.109440806548267,0.109227447853142
sym,50,1961-03-01T00:00:00Z,-0.116371599084204,0.0126919146271067,0.0124553769928535
asym,50,1961-03-01T00:00:00Z,-0.259434727456149,0.301191711112444,0.301024291781134
full,700,1961-03-02T00:00:00Z,-0.681161401724048,0.0435775843685804,0.0433484462718791
sym,700,1961-03-02T00:00:00Z,-1.04064337708452,0.126095452150084,0.125886083547341
asym,700,1961-03-02T00:00:00Z,0.359481975360471,0.0627624152506786,0.0625378734239538
full,50,1961-03-02T00:00:00Z,-0.484307673807367,0.137591747402985,0.137385133063599
sym,50,1961-03-02T00:00:00Z,-0.124777373544988,0.0110459581112319,0.0108090261414454
asym,50,1961-03-02T00:00:00Z,-0.359530300262374,0.43788126688382,0.437746595409666
full,700,1961-03-03T00:00:00Z,-0.92743012566929,0.100795311928258,0.100579881959865
sym,700,1961-03-03T00:00:00Z,-1.06873438785406,0.165939579470038,0.165739756657261
asym,700,1961-03-03T00:00:00Z,0.141304262184774,0.0120995934020893,0.0118629138604991
full,50,1961-03-03T00:00:00Z,-0.535135227367948,0.187101764982625,0.186907012171169
sym,50,1961-03-03T00:00:00Z,-0.202569968008021,0.0324252212544856,0.0321934112931187
asym,50,1961-03-03T00:00:00Z,-0.332565259359919,0.417292181189004,0.417152577015834
full,700,1961-03-04T00:00:00Z,-0.640114204863238,0.0546024911747335,0.0543759944069268
sym,700,1961-03-04T00:00:00Z,-0.64625553436683,0.0689983270848783,0.0687752792475723
asym,700,1961-03-04T00:00:00Z,0.00614132950359262,2.59899021380905e-05,-0.000213582213362207
full,50,1961-03-04T00:00:00Z,-0.413712639575238,0.133254705117133,0.133047051716346
sym,50,1961-03-04T00:00:00Z,-0.135405537719532,0.0172639374126445,0.0170284951360304
asym,50,1961-03-04T00:00:00Z,-0.278307101855701,0.348232448908446,0.34807629951911
full,700,1961-03-05T00:00:00Z,-0.337792859067163,0.0160913822741103,0.0158556590786801
sym,700,1961-03-05T00:00:00Z,-0.296122037925302,0.0153308546217398,0.0150949492203555
asym,700,1961-03-05T00:00:00Z,-0.0416708211418601,0.00126630656434779,0.00102703160185724
full,50,1961-03-05T00:00:00Z,-0.200988862884316,0.038817078812133,0.0385868002014029
sym,50,1961-03-05T00:00:00Z,-0.0181099599826713,0.000381149953688542,0.00014166292684481
asym,50,1961-03-05T00:00:00Z,-0.182878902901642,0.185584526955286,0.185389410646459
full,700,1961-03-06T00:00:00Z,-0.322654570541722,0.0136932139652777,0.0134569162206598
sym,700,1961-03-06T00:00:00Z,-0.262327931732597,0.0112215100943823,0.0109846201830489
asym,700,1961-03-06T00:00:00Z,-0.0603266388091266,0.00247531416044133,0.00223632884998626
full,50,1961-03-06T00:00:00Z,-0.0330113184267913,0.00113587041566599,0.000896564203499262
sym,50,1961-03-06T00:00:00Z,0.0352614031103636,0.00156741592468224,0.00132821310147302
asym,50,1961-03-06T00:00:00Z,-0.0682727215371557,0.0280564788450441,0.0278236222276136
full,700,1961-03-07T00:00:00Z,-0.347197247846275,0.0147684373187722,0.0145323971743829
sym,700,1961-03-07T00:00:00Z,-0.198426191349759,0.0059801554296206,0.00574200980322615
asym,700,1961-03-07T00:00:00Z,-0.148771056496517,0.0140217173425043,0.0137854983001809
full,50,1961-03-07T00:00:00Z,0.0976619597167029,0.00697475034607309,0.00673684300307986
sym,50,1961-03-07T00:00:00Z,0.112268631173461,0.0111474794322636,0.0109105717847869
asym,50,1961-03-07T00:00:00Z,-0.0146066714567617,0.000900981773025888,0.000661619286627557
full,700,1961-03-08T00:00:00Z,-0.29299154260648,0.00971726250819249,0.00948001221171624
