term,lev,time,estimate,r.squared,adj.r.squared
full,700,2007-04-01T00:00:00Z,-0.574744958434891,0.0349658324296114,0.0347346311436578
sym,700,2007-04-01T00:00:00Z,-0.749328038165513,0.0736834547710913,0.0734615293889089
asym,700,2007-04-01T00:00:00Z,0.174583079730623,0.0166832304763253,0.0164476490749061
full,50,2007-04-01T00:00:00Z,-0.0928937308625752,0.0039750274121173,0.00373640140047671
sym,50,2007-04-01T00:00:00Z,-0.0036218119744336,7.30804384163619e-06,-0.000232268547427195
asym,50,2007-04-01T00:00:00Z,-0.0892719188881415,0.0211998477649403,0.0209653484472031
full,700,2007-04-02T00:00:00Z,-0.454136805147908,0.0232062674991658,0.0229722488761421
sym,700,2007-04-02T00:00:00Z,-0.738864295831339,0.0761541784471994,0.0759328449968992
asym,700,2007-04-02T00:00:00Z,0.284727490683431,0.0471707750761439,0.0469424978301151
full,50,2007-04-02T00:00:00Z,0.00324304517438837,4.6619764811906e-06,-0.000234915248728207
sym,50,2007-04-02T00:00:00Z,0.116239287693848,0.00724355877791449,0.00700571583559972
asym,50,2007-04-02T00:00:00Z,-0.112996242519463,0.032683440819605,0.0324516927220534
full,700,2007-04-03T00:00:00Z,-0.473246942714449,0.0244331197672274,0.0241993950714361
sym,700,2007-04-03T00:00:00Z,-0.793526634320618,0.0851645368566054,0.0849453620930348
asym,700,2007-04-03T00:00:00Z,0.320279691606168,0.0578687912210557,0.057643076987999
full,50,2007-04-03T00:00:00Z,0.0162822641807135,0.000125770081358279,-0.000113778128971953
sym,50,2007-04-03T00:00:00Z,0.101906578824828,0.00595846261242439,0.00572031178890087
asym,50,2007-04-03T00:00:00Z,-0.0856243146441176,0.0200852688999486,0.0198505025532547
full,700,2007-04-04T00:00:00Z,-0.503896202880509,0.0298413273417075,0.0296088983353208
sym,700,2007-04-04T00:00:00Z,-0.743515770215701,0.0805468974832392,0.0803266164332831
asym,700,2007-04-04T00:00:00Z,0.239619567335191,0.0348949710318344,0.0346637527690246
full,50,2007-04-04T00:00:00Z,0.0785906391098847,0.0034379692893961,0.00319921461026085
sym,50,2007-04-04T00:00:00Z,0.0898931526737375,0.00543995870240377,0.00520168365657303
asym,50,2007-04-04T00:00:00Z,-0.0113025135638561,0.00041062568498762,0.00017114571989052
full,700,2007-04-05T00:00:00Z,-0.644540288320421,0.0467200435813375,0.0464916583498045
sym,700,2007-04-05T00:00:00Z,-0.704086606253234,0.0691174567848792,0.0688944374884692
asym,700,2007-04-05T00:00:00Z,0.0595463179328132,0.00206203124969218,0.00182294692560248
full,50,2007-04-05T00:00:00Z,0.0978453788140988,0.00532869017357118,0.00509038847021082
sym,50,2007-04-05T00:00:00Z,0.043771619443532,0.00128975460814029,0.00105048526329321
asym,50,2007-04-05T00:00:00Z,0.0540737593705653,0.00939828575702206,0.00916095904062475
full,700,2007-04-06T00:00:00Z,-0.137253342724866,0.00246502832129725,0.00222604054657782
sym,700,2007-04-06T00:00:00Z,-0.166194150970276,0.00448063952860822,0.00424213465068024
asym,700,2007-04-06T00:00:00Z,0.0289408082454099,0.000566734540225489,0.000327291975429245
full,50,2007-04-06T00:00:00Z,0.160349090969631,0.015702483039638,0.0154666666723738
sym,50,2007-04-06T00:00:00Z,0.105093247564987,0.00815768592737864,0.00792006199013084
asym,50,2007-04-06T00:00:00Z,0.055255843404639,0.0107678113624511,0.0105308127547277
full,700,2007-04-07T00:00:00Z,0.0534445541815062,0.000430450320909603,0.000190975105366031
sym,700,2007-04-07T00:00:00Z,0.16917903061887,0.00534738761225639,0.00510909038839735
asym,700,2007-04-07T00:00:00Z,-0.115734476437365,0.0104381597420936,0.0102010821569816
full,50,2007-04-07T00:00:00Z,0.259028007979684,0.0553036153722615,0.0550772865786277
sym,50,2007-04-07T00:00:00Z,0.236699781943962,0.0558518823718344,0.0556256849310992
asym,50,2007-04-07T00:00:00Z,0.0223282260357151,0.00237303529578892,0.00213402548153308
full,700,2007-04-08T00:00:00Z,-0.122503671507794,0.00224227223856732,0.00200323109631506
sym,700,2007-04-08T00:00:00Z,0.102641099122321,0.00195148492506148,0.00171237411646652
asym,700,2007-04-08T00:00:00Z,-0.225144770630115,0.039164823716234,0.0389346284176514
full,50,2007-04-08T00:00:00Z,0.277965989562195,0.0597486406204795,0.0595233767586252
sym,50,2007-04-08T00:00:00Z,0.328655430080159,0.101020231077778,0.100804854995142
asym,50,2007-04-08T00:00:00Z,-0.0506894405179721,0.0114740143219017,0.0112371849051125
full,700,2007-04-09T00:00:00Z,0.232588768248165,0.00702296797958879,0.00678507218849611
sym,700,2007-04-09T00:00:00Z,0.450267335748889,0.0326299628037833,0.0323982018940573
asym,700,2007-04-09T00:00:00Z,-0.217678567500725,0.0318095020029875,0.0315775445286232
full,50,2007-04-09T00:00:00Z,0.191648501239434,0.0178888564050448,0.0176535638454868
sym,50,2007-04-09T00:00:00Z,0.418496019086027,0.10316595735414,0.102951095341048
asym,50,2007-04-09T00:00:00Z,-0.226847517846605,0.1447356355119,0.144530732693383
full,700,2007-04-10T00:00:00Z,0.137173386938943,0.00183705322475414,0.00159791500080231
sym,700,2007-04-10T00:00:00Z,0.494768443633376,0.0296291015983908,0.0293966217473124
asym,700,2007-04-10T00:00:00Z,-0.357595056694432,0.0645575954852931,0.0643334837448727
full,50,2007-04-10T00:00:00Z,0.105115866126728,0.00420935996293581,0.00397079009229928
sym,50,2007-04-10T00:00:00Z,0.466593408485121,0.100308733073223,0.100093186531075
asym,50,2007-04-10T00:00:00Z,-0.361477542358406,0.287460281986283,0.287289572901948
full,700,2007-04-11T00:00:00Z,-0.160742025001909,0.00264657802370716,0.00240763374436448
sym,700,2007-04-11T00:00:00Z,0.188743487797556,0.00452378823228772,0.00428529369185471
asym,700,2007-04-11T00:00:00Z,-0.349485512799465,0.0646943724609156,0.0644702934892962
full,50,2007-04-11T00:00:00Z,0.0175169962866348,0.000111872481833863,-0.000127679058060215
sym,50,2007-04-11T00:00:00Z,0.367659540244334,0.0596043153064427,0.0593790168673691
asym,50,2007-04-11T00:00:00Z,-0.350142543957708,0.258124631071663,0.257946893800717
full,700,2007-04-12T00:00:00Z,-1.06194862584895,0.0950377033359012,0.0948208939691872
sym,700,2007-04-12T00:00:00Z,-0.529094779988354,0.0292474733892001,0.029014902108268
asym,700,2007-04-12T00:00:00Z,-0.532853845860597,0.12373354194436,0.123523607479086
full,50,2007-04-12T00:00:00Z,-0.195032435848782,0.0149233629169033,0.0146873598893318
sym,50,2007-04-12T00:00:00Z,0.0915907659121435,0.00398050724961418,0.00374188255082386
asym,50,2007-04-12T00:00:00Z,-0.286623201760926,0.186127859369957,0.185932873231809
full,700,2007-04-13T00:00:00Z,-1.81030337876856,0.205087656010762,0.20489721222926
sym,700,2007-04-13T00:00:00Z,-1.02117991206765,0.080904710160791,0.080684514835003
asym,700,2007-04-13T00:00:00Z,-0.789123466700908,0.201515767106516,0.201324467577792
full,50,2007-04-13T00:00:00Z,-0.532809729441784,0.108060450278017,0.107846760879426
sym,50,2007-04-13T00:00:00Z,-0.197569056848733,0.0179697634256706,0.0177344902496825
asym,50,2007-04-13T00:00:00Z,-0.335240672593042,0.247042442070143,0.246862049746729
full,700,2007-04-14T00:00:00Z,-1.65336121483604,0.178034534331457,0.177837609207914
sym,700,2007-04-14T00:00:00Z,-0.875800910668047,0.0619315613948369,0.0617068205135228
asym,700,2007-04-14T00:00:00Z,-0.777560304167994,0.203619441276265,0.203428645742311
full,50,2007-04-14T00:00:00Z,-0.667228639843473,0.140829317558669,0.140623478870974
sym,50,2007-04-14T00:00:00Z,-0.240691982033407,0.0221640432595106,0.0219297749421314
asym,50,2007-04-14T00:00:00Z,-0.426536657810058,0.332347276945736,0.332187321813236
full,700,2007-04-15T00:00:00Z,-1.29646046664011,0.137190068470061,0.136983357897102
sym,700,2007-04-15T00:00:00Z,-0.564143347117188,0.032204424374887,0.0319725615153698
asym,700,2007-04-15T00:00:00Z,-0.732317119522929,0.226352245760311,0.226166896513967
full,50,2007-04-15T00:00:00Z,-0.589256687522661,0.116760771302699,0.116549166312595
sym,50,2007-04-15T00:00:00Z,-0.249016395511033,0.0252188818451107,0.0249853454008954
asym,50,2007-04-15T00:00:00Z,-0.340240292011619,0.224799367875614,0.22461364659336
full,700,2007-04-16T00:00:00Z,-1.0558747182238,0.110900545989135,0.110687537015965
sym,700,2007-04-16T00:00:00Z,-0.426068779460277,0.0223872530668514,0.0221530382257079
asym,700,2007-04-16T00:00:00Z,-0.629805938763522,0.204035023498372,0.203844327528918
full,50,2007-04-16T00:00:00Z,-0.596542419391113,0.121577638563016,0.121367187589984
sym,50,2007-04-16T00:00:00Z,-0.306246267008069,0.0387520494166191,0.0385217552262541
asym,50,2007-04-16T00:00:00Z,-0.290296152383033,0.166260578128756,0.166060832220306
full,700,2007-04-17T00:00:00Z,-0.705766515463203,0.0548595110345038,0.054633075843089
sym,700,2007-04-17T00:00:00Z,-0.134701560652546,0.0024774652442322,0.00223848044913033
asym,700,2007-04-17T00:00:00Z,-0.571064954810657,0.185730474740707,0.185535393397809
full,50,2007-04-17T00:00:00Z,-0.578853175449124,0.138816749013707,0.138610428158176
sym,50,2007-04-17T00:00:00Z,-0.364265998717575,0.0664851000493777,0.0662614500973051
asym,50,2007-04-17T00:00:00Z,-0.214587176731535,0.110166168876237,0.109952983962216
full,700,2007-04-18T00:00:00Z,-0.402631449624369,0.0158120153189366,0.0155762251932343
sym,700,2007-04-18T00:00:00Z,0.323291505845738,0.0126384236148004,0.0124018731652592
asym,700,2007-04-18T00:00:00Z,-0.725922955470107,0.265787905523056,0.265612004206698
full,50,2007-04-18T00:00:00Z,-0.490707917618616,0.0851421591399519,0.0849229790151651
sym,50,2007-04-18T00:00:00Z,-0.287995053695481,0.0354691362918798,0.0352380555866311
asym,50,2007-04-18T00:00:00Z,-0.202712863923125,0.0839067371237637,0.0836872610186185
full,700,2007-04-19T00:00:00Z,-0.459685627958521,0.0218178401116426,0.0215834888514872
sym,700,2007-04-19T00:00:00Z,0.160569158745037,0.00330024855810507,0.00306146088406534
asym,700,2007-04-19T00:00:00Z,-0.620254786703559,0.205405690012986,0.205215322425543
full,50,2007-04-19T00:00:00Z,-0.432347516597694,0.0577555629822407,0.0575298216221501
sym,50,2007-04-19T00:00:00Z,-0.284133491820041,0.0301685730010965,0.0299362223956823
asym,50,2007-04-19T00:00:00Z,-0.148214024777645,0.0391960381226701,0.0389658503023833
full,700,2007-04-20T00:00:00Z,-0.664778288724127,0.0422731205160654,0.0420436698980768
sym,700,2007-04-20T00:00:00Z,-0.00430212171739152,2.19486858743512e-06,-0.000237382947687381
asym,700,2007-04-20T00:00:00Z,-0.660476167006738,0.215778054362146,0.215590171768558
full,50,2007-04-20T00:00:00Z,-0.319629387871033,0.030040575730633,0.029808194459845
sym,50,2007-04-20T00:00:00Z,-0.332659351605813,0.0393546764171675,0.0391245266031802
asym,50,2007-04-20T00:00:00Z,0.0130299637347891,0.000288294890424479,4.87856175184209e-05
full,700,2007-04-21T00:00:00Z,-0.958425813548344,0.0761862389742418,0.0759649132049496
sym,700,2007-04-21T00:00:00Z,-0.214672167456613,0.00473852848212619,0.0045000853888062
asym,700,2007-04-21T00:00:00Z,-0.743753646091733,0.237246636187281,0.237063897000934
full,50,2007-04-21T00:00:00Z,-0.312034651771026,0.0235308063120376,0.0232968654414847
sym,50,2007-04-21T00:00:00Z,-0.349440052907737,0.0356909863150083,0.0354599587602203
asym,50,2007-04-21T00:00:00Z,0.0374054011367195,0.00195269977711798,0.00171358925957532
full,700,2007-04-22T00:00:00Z,-0.565288293993245,0.0280123766192818,0.0277795094359131
sym,700,2007-04-22T00:00:00Z,0.0167828195581129,3.06106326515287e-05,-0.000208960375821743
asym,700,2007-04-22T00:00:00Z,-0.582071113551359,0.153583437655394,0.153380654578647
full,50,2007-04-22T00:00:00Z,-0.397012286512804,0.0329732898094188,0.0327416111534076
