term,lev,time,estimate,r.squared,adj.r.squared
full,700,1996-05-01T00:00:00Z,0.704272827752067,0.0541539183428136,0.0539273141066715
sym,700,1996-05-01T00:00:00Z,0.373919800735072,0.0189250671944395,0.0186900228885446
asym,700,1996-05-01T00:00:00Z,0.330353027016996,0.0616150661473449,0.0613902494406241
full,50,1996-05-01T00:00:00Z,0.694327801143197,0.213971661465898,0.213783346099694
sym,50,1996-05-01T00:00:00Z,0.533449703504445,0.152755245386016,0.152552263892338
asym,50,1996-05-01T00:00:00Z,0.160878097638734,0.0663371301219584,0.066113444719496
full,700,1996-05-02T00:00:00Z,0.408808457691745,0.0181720184702604,0.0179367937502005
sym,700,1996-05-02T00:00:00Z,0.358993655131039,0.0173727853493626,0.0171373691503567
asym,700,1996-05-02T00:00:00Z,0.0498148025607079,0.00139528385677723,0.00115603979445245
full,50,1996-05-02T00:00:00Z,0.872000934256376,0.282743275702726,0.282571436525846
sym,50,1996-05-02T00:00:00Z,0.575969721298635,0.149190001392636,0.148986165743712
asym,50,1996-05-02T00:00:00Z,0.296031212957722,0.188178100220575,0.187983605275731
full,700,1996-05-03T00:00:00Z,0.542273414684146,0.0358762743689729,0.0356452912051897
sym,700,1996-05-03T00:00:00Z,0.448927816169435,0.0304828959765187,0.0302506206760818
asym,700,1996-05-03T00:00:00Z,0.0933455985147144,0.00549718960895729,0.00525892827441221
full,50,1996-05-03T00:00:00Z,0.956531075572345,0.318390917541628,0.31822761876768
sym,50,1996-05-03T00:00:00Z,0.676306147991825,0.192500206867123,0.192306747405424
asym,50,1996-05-03T00:00:00Z,0.280224927580499,0.157801715322563,0.157599942853786
full,700,1996-05-04T00:00:00Z,0.335840488765862,0.0141673886538308,0.0139312045111988
sym,700,1996-05-04T00:00:00Z,0.256333648202487,0.0102321623260681,0.00999503538843649
asym,700,1996-05-04T00:00:00Z,0.0795068405633752,0.00410596280439968,0.00386736816204325
full,50,1996-05-04T00:00:00Z,0.920849246926655,0.316918289756703,0.316754638173032
sym,50,1996-05-04T00:00:00Z,0.733213951073062,0.243004152864832,0.242822793054785
asym,50,1996-05-04T00:00:00Z,0.187635295853566,0.0759862456852901,0.0757648720019373
full,700,1996-05-05T00:00:00Z,0.383270979650877,0.0198485906440463,0.0196137675943683
sym,700,1996-05-05T00:00:00Z,0.189078531447046,0.00598872988537413,0.00575058631323355
asym,700,1996-05-05T00:00:00Z,0.194192448203832,0.0263490397713282,0.0261157740884752
full,50,1996-05-05T00:00:00Z,0.853822767219535,0.287586965095957,0.287416286362152
sym,50,1996-05-05T00:00:00Z,0.654703433213865,0.20450550312392,0.204314919871194
asym,50,1996-05-05T00:00:00Z,0.199119334005649,0.0903225693692518,0.0901046303585592
full,700,1996-05-06T00:00:00Z,0.935216764277656,0.110881517961654,0.110668504429781
sym,700,1996-05-06T00:00:00Z,0.621523363525457,0.0607130424237496,0.0604880096116806
asym,700,1996-05-06T00:00:00Z,0.313693400752201,0.0645100946205814,0.0642859714999826
full,50,1996-05-06T00:00:00Z,1.02844316769135,0.445139072603423,0.445006139942331
sym,50,1996-05-06T00:00:00Z,0.821706935482978,0.343677463218876,0.34352022255362
asym,50,1996-05-06T00:00:00Z,0.206736232208345,0.103873317324052,0.103658624779089
full,700,1996-05-07T00:00:00Z,1.5623764307261,0.206353103310993,0.206162962703258
sym,700,1996-05-07T00:00:00Z,0.8892896830994,0.0828816975755027,0.0826619758930818
asym,700,1996-05-07T00:00:00Z,0.673086747626707,0.19804507387255,0.197852942840895
full,50,1996-05-07T00:00:00Z,1.27392957177157,0.571867456223315,0.57176488493827
sym,50,1996-05-07T00:00:00Z,1.17913711028089,0.592536608095455,0.592438988691549
asym,50,1996-05-07T00:00:00Z,0.0947924614906388,0.0182846996873465,0.0180495019632658
full,700,1996-05-08T00:00:00Z,1.15935783530995,0.092093264099491,0.0918757493089063
sym,700,1996-05-08T00:00:00Z,0.400836402905449,0.0136477059953792,0.0134113973480375
asym,700,1996-05-08T00:00:00Z,0.758521432404499,0.203850083579041,0.203659343301988
full,50,1996-05-08T00:00:00Z,1.196464887794,0.499936997377948,0.499817193112826
sym,50,1996-05-08T00:00:00Z,1.08734108592438,0.499377516536176,0.49925757823156
asym,50,1996-05-08T00:00:00Z,0.109123801869589,0.0240154110181134,0.0237815862483526
full,700,1996-05-09T00:00:00Z,0.624865271472479,0.0303224829278379,0.0300901691959088
sym,700,1996-05-09T00:00:00Z,0.145561186673029,0.00203993176796724,0.00180084214932041
asym,700,1996-05-09T00:00:00Z,0.479304084799451,0.092256412326903,0.0920389366231001
full,50,1996-05-09T00:00:00Z,1.08778689846619,0.405791185577187,0.405648826014555
sym,50,1996-05-09T00:00:00Z,0.810484252723411,0.272449585132328,0.272275279810127
asym,50,1996-05-09T00:00:00Z,0.277302645742746,0.152285542167033,0.152082448142636
full,700,1996-05-10T00:00:00Z,0.80021112537354,0.0564681204160474,0.0562420706126013
sym,700,1996-05-10T00:00:00Z,0.419225969387253,0.0192142306593495,0.0189792556307581
asym,700,1996-05-10T00:00:00Z,0.380985155986289,0.06619003176202,0.0659663111179764
full,50,1996-05-10T00:00:00Z,1.17277539274318,0.340690709160807,0.340532752933965
sym,50,1996-05-10T00:00:00Z,0.634241245676454,0.120509584781198,0.120298877925611
asym,50,1996-05-10T00:00:00Z,0.538534147066704,0.414851608212652,0.414711419331054
full,700,1996-05-11T00:00:00Z,0.957951236142131,0.0776084047822615,0.0773874197330957
sym,700,1996-05-11T00:00:00Z,0.420891619811268,0.0185735531400394,0.01833842461899
asym,700,1996-05-11T00:00:00Z,0.537059616330866,0.126138965395534,0.125929607217622
full,50,1996-05-11T00:00:00Z,1.39176639913421,0.362917437142648,0.362764805958446
sym,50,1996-05-11T00:00:00Z,0.676151789348494,0.103596616398922,0.10338185756241
asym,50,1996-05-11T00:00:00Z,0.715614609785687,0.554075852471697,0.553969018703722
full,700,1996-05-12T00:00:00Z,0.632936247727096,0.0336218700300349,0.0333903467597977
sym,700,1996-05-12T00:00:00Z,0.254191251876768,0.00672288390413489,0.00648491621939706
asym,700,1996-05-12T00:00:00Z,0.378744995850332,0.0622555470105043,0.0620308837491269
full,50,1996-05-12T00:00:00Z,1.31485196768967,0.373354110172626,0.373203979389246
sym,50,1996-05-12T00:00:00Z,0.604838324333273,0.0955493738680984,0.0953326870865622
asym,50,1996-05-12T00:00:00Z,0.710013643356377,0.628689619011376,0.628600661085888
full,700,1996-05-13T00:00:00Z,0.618555456533493,0.0328795720936746,0.0326478709849286
sym,700,1996-05-13T00:00:00Z,0.340825935461665,0.0123756103113359,0.0121389968974192
asym,700,1996-05-13T00:00:00Z,0.27772952107183,0.0342764061525638,0.0340450396950056
full,50,1996-05-13T00:00:00Z,1.14646482341848,0.359571367437303,0.359417934607269
sym,50,1996-05-13T00:00:00Z,0.512524326249272,0.0869109760921657,0.0866922197376118
asym,50,1996-05-13T00:00:00Z,0.63394049716919,0.634886820493504,0.634799347283273
full,700,1996-05-14T00:00:00Z,0.572950337839537,0.0267156815630693,0.0264825037196488
sym,700,1996-05-14T00:00:00Z,0.45367017258757,0.0207656358873726,0.0205310325418736
asym,700,1996-05-14T00:00:00Z,0.11928016525197,0.00598757657254534,0.00574943272409612
full,50,1996-05-14T00:00:00Z,1.09309417529993,0.205734093337377,0.205543804428258
sym,50,1996-05-14T00:00:00Z,0.415729088882393,0.0359910039039929,0.0357600482269215
asym,50,1996-05-14T00:00:00Z,0.677365086417518,0.456217991723618,0.456087713331602
full,700,1996-05-15T00:00:00Z,0.693431157430018,0.0457634233097679,0.0455348088927362
sym,700,1996-05-15T00:00:00Z,0.732601993975972,0.0633257695978805,0.0631013627386562
asym,700,1996-05-15T00:00:00Z,-0.0391708365459509,0.000755126674557238,0.000515729244436103
full,50,1996-05-15T00:00:00Z,1.11127805244468,0.141715853447222,0.141510227154324
