term,lev,time,estimate,r.squared,adj.r.squared
full,700,2010-10-01T00:00:00Z,1.03903440362913,0.15573934348234,0.155537076913936
sym,700,2010-10-01T00:00:00Z,0.84520078071784,0.127758777016922,0.127549806910793
asym,700,2010-10-01T00:00:00Z,0.193833622911284,0.0280271558171715,0.0277942921745786
full,50,2010-10-01T00:00:00Z,2.04145413131316,0.240348564056263,0.240166568024652
sym,50,2010-10-01T00:00:00Z,0.679226277949558,0.0321790534516314,0.0319471845137904
asym,50,2010-10-01T00:00:00Z,1.36222785336357,0.618012809638965,0.617921293781188
full,700,2010-10-02T00:00:00Z,1.11963081995849,0.155487245450249,0.155284918484616
sym,700,2010-10-02T00:00:00Z,0.898284140224781,0.124080926340424,0.123871075100928
asym,700,2010-10-02T00:00:00Z,0.221346679733709,0.0314248650722164,0.0311928154471739
full,50,2010-10-02T00:00:00Z,2.03767560299593,0.25434336493495,0.254164721754532
sym,50,2010-10-02T00:00:00Z,0.758297626857178,0.0426002101844528,0.0423708379300648
asym,50,2010-10-02T00:00:00Z,1.27937797613872,0.579006911119458,0.578906050293181
full,700,2010-10-03T00:00:00Z,1.309070305256,0.168132185296716,0.167932887784808
sym,700,2010-10-03T00:00:00Z,0.827454017788125,0.0832808474043654,0.0830612213495988
asym,700,2010-10-03T00:00:00Z,0.481616287467882,0.117681870755213,0.117470486440588
full,50,2010-10-03T00:00:00Z,1.660899169327,0.209295876895906,0.209106441312987
sym,50,2010-10-03T00:00:00Z,0.804973114245616,0.0594591798869307,0.0592338466765539
asym,50,2010-10-03T00:00:00Z,0.855926055081359,0.320983210461304,0.320820532744596
full,700,2010-10-04T00:00:00Z,1.28186354279142,0.144766172830698,0.144561277328262
sym,700,2010-10-04T00:00:00Z,0.565446780485659,0.0349220279096312,0.0346908161290633
asym,700,2010-10-04T00:00:00Z,0.716416762305765,0.233828420516717,0.233644862399926
full,50,2010-10-04T00:00:00Z,1.56225713942118,0.155842928341728,0.155640686590013
sym,50,2010-10-04T00:00:00Z,0.716203063296322,0.039612881923399,0.0393827939698588
asym,50,2010-10-04T00:00:00Z,0.846054076124837,0.263945337113565,0.263768994357723
full,700,2010-10-05T00:00:00Z,0.840037446751507,0.0650910264291127,0.0648670424871934
sym,700,2010-10-05T00:00:00Z,0.0115816684219043,1.53390535814202e-05,-0.000224235613631496
asym,700,2010-10-05T00:00:00Z,0.828455778329602,0.327374469768239,0.32721332325884
full,50,2010-10-05T00:00:00Z,1.54631032112852,0.116944999084361,0.116733438231243
sym,50,2010-10-05T00:00:00Z,0.456157938379995,0.0123083786070517,0.0120717490858746
asym,50,2010-10-05T00:00:00Z,1.09015238274851,0.335659117135427,0.335499955448109
full,700,2010-10-06T00:00:00Z,0.391991459886872,0.0141725439795725,0.0139363610720448
sym,700,2010-10-06T00:00:00Z,-0.412874146174243,0.0194922719758093,0.0192573635598955
asym,700,2010-10-06T00:00:00Z,0.80486560606112,0.30897522617403,0.308809671604354
full,50,2010-10-06T00:00:00Z,1.43691246423587,0.0924951222893305,0.0922777037752648
sym,50,2010-10-06T00:00:00Z,0.357931054271267,0.0069412708831571,0.00670335551920953
asym,50,2010-10-06T00:00:00Z,1.07898140996458,0.301177009708202,0.301009586854754
full,700,2010-10-07T00:00:00Z,0.0936057984541599,0.00073215076141786,0.000492747826765561
sym,700,2010-10-07T00:00:00Z,-0.737244889329646,0.0563055283525926,0.0560794395956096
asym,700,2010-10-07T00:00:00Z,0.830850687783807,0.298279426331379,0.29811130927971
full,50,2010-10-07T00:00:00Z,1.06909517147898,0.0555162530187079,0.0552899751684489
sym,50,2010-10-07T00:00:00Z,0.369008479262704,0.00799911846460555,0.00776145653802796
asym,50,2010-10-07T00:00:00Z,0.700086692216261,0.137475953541054,0.137269311459966
full,700,2010-10-08T00:00:00Z,0.0804362434975222,0.000535765449698356,0.000296315465378672
sym,700,2010-10-08T00:00:00Z,-0.726391542225089,0.0541682971955144,0.053941696404234
asym,700,2010-10-08T00:00:00Z,0.806827785722617,0.278750177838489,0.278577382001843
full,50,2010-10-08T00:00:00Z,0.667962808104299,0.0222347418419777,0.0220004904624478
sym,50,2010-10-08T00:00:00Z,0.348577319408633,0.00732331654061191,0.0070854927065297
asym,50,2010-10-08T00:00:00Z,0.319385488695649,0.029355776572864,0.029123231239029
full,700,2010-10-09T00:00:00Z,0.486041077761674,0.0196521746325976,0.0194173045258973
sym,700,2010-10-09T00:00:00Z,-0.16355013019823,0.00275866481249587,0.00251974738672023
asym,700,2010-10-09T00:00:00Z,0.649591207959906,0.181521160055068,0.181325070251535
full,50,2010-10-09T00:00:00Z,0.288660429314964,0.00403191703329875,0.00379330465117933
sym,50,2010-10-09T00:00:00Z,0.176886929966595,0.00183109381723556,0.0015919541655387
asym,50,2010-10-09T00:00:00Z,0.111773499348363,0.00349100492751409,0.00325226295456915
full,700,2010-10-10T00:00:00Z,0.763669152257801,0.0485316138105881,0.0483036625920473
sym,700,2010-10-10T00:00:00Z,0.563961797476201,0.0328130115858323,0.03258129453063
