term,lev,time,estimate,r.squared,adj.r.squared
full,700,1962-07-01T00:00:00Z,-0.146359118528775,0.00252075491829029,0.00228178049445671
sym,700,1962-07-01T00:00:00Z,-0.11036486141047,0.0017769908028491,0.0015378381892418
asym,700,1962-07-01T00:00:00Z,-0.0359942571183055,0.000788387626800668,0.00054899816528331
full,50,1962-07-01T00:00:00Z,0.302503507469402,0.0328633792491095,0.0326316742609086
sym,50,1962-07-01T00:00:00Z,0.638441319935599,0.177041626175301,0.176844463172468
asym,50,1962-07-01T00:00:00Z,-0.335937812466212,0.234047957265898,0.233864451745358
full,700,1962-07-02T00:00:00Z,-0.446341505905018,0.0202007045981059,0.0199659659073053
sym,700,1962-07-02T00:00:00Z,-0.514650818405444,0.033295825541762,0.0330642241583269
asym,700,1962-07-02T00:00:00Z,0.068309312500426,0.00244666278161576,0.00220767060691085
full,50,1962-07-02T00:00:00Z,-0.190575961414263,0.0087547767559778,0.00851729586876071
sym,50,1962-07-02T00:00:00Z,0.292042584522305,0.0248647004060576,0.0246310791076403
asym,50,1962-07-02T00:00:00Z,-0.482618545936573,0.324229507700946,0.324067607726749
full,700,1962-07-03T00:00:00Z,-0.715091377209869,0.0374280236223249,0.0371974122240553
sym,700,1962-07-03T00:00:00Z,-0.85310001057616,0.0660398669875255,0.0658161103672542
asym,700,1962-07-03T00:00:00Z,0.138008633366296,0.00720889401678637,0.00697104276954563
full,50,1962-07-03T00:00:00Z,-0.112571372955161,0.00254693892532165,0.00230797077460887
sym,50,1962-07-03T00:00:00Z,0.163604096676892,0.00650628346335835,0.00626826388584589
asym,50,1962-07-03T00:00:00Z,-0.276175469632057,0.0885255213604528,0.0883071518159776
full,700,1962-07-04T00:00:00Z,-1.09659734316771,0.0748770953497251,0.0746554559379737
sym,700,1962-07-04T00:00:00Z,-1.14489178489817,0.101184961573262,0.100969624956485
asym,700,1962-07-04T00:00:00Z,0.0482944417304652,0.000750984940175448,0.000511586517784601
full,50,1962-07-04T00:00:00Z,-0.189729514758814,0.00450025319413938,0.0042617530152208
sym,50,1962-07-04T00:00:00Z,-0.0788448651937583,0.000939931087308166,0.000700577932321811
asym,50,1962-07-04T00:00:00Z,-0.110884649565052,0.00887658056541196,0.00863912885974971
full,700,1962-07-05T00:00:00Z,-1.06339257335215,0.0803855870126814,0.0801652673162302
sym,700,1962-07-05T00:00:00Z,-1.03756623526253,0.0948757201040334,0.0946588719296454
asym,700,1962-07-05T00:00:00Z,-0.0258263380896185,0.00024518783757288,5.66823715075771e-06
full,50,1962-07-05T00:00:00Z,-0.160936186688483,0.00262342756635126,0.00238447774066042
sym,50,1962-07-05T00:00:00Z,-0.116706704779861,0.00166853493843711,0.0014293563411536
asym,50,1962-07-05T00:00:00Z,-0.0442294819086184,0.00114425035130228,0.0009049461467866
full,700,1962-07-06T00:00:00Z,-0.483179977945034,0.0222447478487885,0.0220104988664811
sym,700,1962-07-06T00:00:00Z,-0.510034078563004,0.0307284391362258,0.0304962226626121
asym,700,1962-07-06T00:00:00Z,0.0268541006179702,0.000355314694947984,0.000115821478535727
full,50,1962-07-06T00:00:00Z,-0.0247286756469957,7.39636738668059e-05,-0.000165596948156654
sym,50,1962-07-06T00:00:00Z,-0.0554933924989937,0.000450486039241582,0.000211015623822086
asym,50,1962-07-06T00:00:00Z,0.0307647168519987,0.000661086500692854,0.000421666540582843
full,700,1962-07-07T00:00:00Z,0.0848353857048393,0.000931847412145692,0.00069249232048596
sym,700,1962-07-07T00:00:00Z,0.0114515300737537,2.10499100659067e-05,-0.000218523388949343
asym,700,1962-07-07T00:00:00Z,0.0733838556310858,0.00360557136457285,0.00336685683926496
full,50,1962-07-07T00:00:00Z,0.597071564908903,0.0521517013787222,0.0519246174547593
sym,50,1962-07-07T00:00:00Z,0.327042048822716,0.0189236505858974,0.0186886059406137
asym,50,1962-07-07T00:00:00Z,0.270029516086177,0.0615990289277256,0.0613742083788343
full,700,1962-07-08T00:00:00Z,0.336371971546038,0.0160047231086717,0.0157689791515823
sym,700,1962-07-08T00:00:00Z,0.245822294452906,0.0105970158087245,0.0103599762820855
asym,700,1962-07-08T00:00:00Z,0.0905496770931325,0.00599742316893537,0.00575928167951734
full,50,1962-07-08T00:00:00Z,1.143650201324,0.193675013940815,0.193481835937447
sym,50,1962-07-08T00:00:00Z,0.680329076618852,0.0828909785600136,0.0826712591011157
asym,50,1962-07-08T00:00:00Z,0.463321124705132,0.183563810307883,0.183368209879111
full,700,1962-07-09T00:00:00Z,0.648686125512258,0.0490878032720946,0.048859985304503
sym,700,1962-07-09T00:00:00Z,0.563009675899472,0.0458425301628023,0.0456139346980593
asym,700,1962-07-09T00:00:00Z,0.0856764496127873,0.00442802046545798,0.00418950298114218
full,50,1962-07-09T00:00:00Z,1.33688079216243,0.298576390409092,0.298408344503584
sym,50,1962-07-09T00:00:00Z,0.871877816518559,0.153590155132472,0.153387373665086
asym,50,1962-07-09T00:00:00Z,0.465002975643838,0.20860141311869,0.20841181115729
full,700,1962-07-10T00:00:00Z,0.723397935971478,0.0522308159006909,0.052003750930854
sym,700,1962-07-10T00:00:00Z,0.673467051744797,0.0561225595035654,0.0558964269112088
asym,700,1962-07-10T00:00:00Z,0.0499308842266821,0.00128674684247398,0.00104747677703132
full,50,1962-07-10T00:00:00Z,1.36952634471573,0.345996669034447,0.345839984000675
sym,50,1962-07-10T00:00:00Z,1.1490008678421,0.294546506631339,0.294377495252956
asym,50,1962-07-10T00:00:00Z,0.220525476873598,0.0518065129696514,0.0515793463460217
full,700,1962-07-11T00:00:00Z,0.783992599776759,0.0658969953403792,0.0656732044911555
sym,700,1962-07-11T00:00:00Z,0.73389426110512,0.0715881520949405,0.0713657247236169
