term,lev,time,estimate,r.squared,adj.r.squared
full,700,1993-01-01T00:00:00Z,-0.901459799779637,0.0830370241615369,0.082817339692002
sym,700,1993-01-01T00:00:00Z,-0.847891752437038,0.0910735682563472,0.0908558091687229
asym,700,1993-01-01T00:00:00Z,-0.0535680473426,0.00151625762329854,0.00127704254366823
full,50,1993-01-01T00:00:00Z,0.44887487307327,0.125939713229386,0.125730307314971
sym,50,1993-01-01T00:00:00Z,0.1271099316115,0.0122138647473914,0.0119772125827405
asym,50,1993-01-01T00:00:00Z,0.321764941461764,0.373701844117495,0.373551796643637
full,700,1993-01-02T00:00:00Z,-1.05285018899812,0.105302233518495,0.105087883310905
sym,700,1993-01-02T00:00:00Z,-1.01903526115683,0.122296866778962,0.122086588117433
asym,700,1993-01-02T00:00:00Z,-0.0338149278412913,0.000561699027184504,0.000322255255988391
full,50,1993-01-02T00:00:00Z,0.398123777470849,0.0976671588946578,0.0974509794885473
sym,50,1993-01-02T00:00:00Z,0.0936617868770232,0.00653761328005686,0.00629960120849005
asym,50,1993-01-02T00:00:00Z,0.30446199059382,0.329848241422912,0.329687687575625
full,700,1993-01-03T00:00:00Z,-1.07050498957685,0.117705776649656,0.117494398062366
sym,700,1993-01-03T00:00:00Z,-1.02867759698665,0.134744619262426,0.1345373228128
asym,700,1993-01-03T00:00:00Z,-0.0418273925901941,0.000929232280853065,0.000689876562664504
full,50,1993-01-03T00:00:00Z,0.338009924956163,0.0695370455479425,0.0693141267759128
sym,50,1993-01-03T00:00:00Z,0.0965243451329964,0.0068582463978204,0.00662031114300432
asym,50,1993-01-03T00:00:00Z,0.241485579823161,0.204962976625119,0.204772502973137
full,700,1993-01-04T00:00:00Z,-1.06459726202561,0.111897537025822,0.111684766910112
sym,700,1993-01-04T00:00:00Z,-1.00341813838132,0.123238446453751,0.12302839337432
asym,700,1993-01-04T00:00:00Z,-0.0611791236442923,0.00191090307188102,0.00167178254075295
full,50,1993-01-04T00:00:00Z,0.331596861260141,0.0614323352874195,0.0612074748023422
sym,50,1993-01-04T00:00:00Z,0.113227678480296,0.00866290268399894,0.00842539978574397
asym,50,1993-01-04T00:00:00Z,0.21836918277984,0.153848967542192,0.153646248080654
full,700,1993-01-05T00:00:00Z,-1.01588170009904,0.109279527392448,0.10906613005833
sym,700,1993-01-05T00:00:00Z,-0.904859159806021,0.10748478468137,0.107270957365769
asym,700,1993-01-05T00:00:00Z,-0.11102254029302,0.00674927574583917,0.00651131438401509
full,50,1993-01-05T00:00:00Z,0.286526457548093,0.0604250769443094,0.0601999751419482
sym,50,1993-01-05T00:00:00Z,0.180658568092412,0.0290527271543097,0.0288201092163974
asym,50,1993-01-05T00:00:00Z,0.105867889455674,0.0476378274923563,0.0474096621419712
full,700,1993-01-06T00:00:00Z,-0.959483022704825,0.117129136325225,0.116917619587401
sym,700,1993-01-06T00:00:00Z,-0.968970468684221,0.148096200610182,0.147892102910281
asym,700,1993-01-06T00:00:00Z,0.00948744597939579,5.92203952263226e-05,-0.000180343758967361
full,50,1993-01-06T00:00:00Z,0.32681348998091,0.113286301712056,0.113073864314287
sym,50,1993-01-06T00:00:00Z,0.250858823218509,0.0807268930498507,0.080506655122934
asym,50,1993-01-06T00:00:00Z,0.0759546667623929,0.0353363803512828,0.035105267840586
full,700,1993-01-07T00:00:00Z,-1.00815633331484,0.125001599151987,0.124791968485756
sym,700,1993-01-07T00:00:00Z,-1.19050076616833,0.216098446451838,0.215910640617255
asym,700,1993-01-07T00:00:00Z,0.182344432853493,0.0211459469356822,0.0209114347044737
full,50,1993-01-07T00:00:00Z,0.421769529696981,0.168302459519937,0.168103202802045
sym,50,1993-01-07T00:00:00Z,0.254283195002874,0.073987338672456,0.0737654860942749
asym,50,1993-01-07T00:00:00Z,0.1674863346941,0.153262004941378,0.153059144856314
full,700,1993-01-08T00:00:00Z,-0.915864280709814,0.089509413748092,0.0892912799229239
sym,700,1993-01-08T00:00:00Z,-1.30255121222212,0.224454629309595,0.224268825435448
asym,700,1993-01-08T00:00:00Z,0.386686931512303,0.0825102260475766,0.0822904153686229
full,50,1993-01-08T00:00:00Z,0.445385856558294,0.167309221990292,0.1671097273142
sym,50,1993-01-08T00:00:00Z,0.23738519929656,0.0574825914094299,0.0572567846512626
asym,50,1993-01-08T00:00:00Z,0.208000657261727,0.210723095128314,0.210534001475973
full,700,1993-01-09T00:00:00Z,-0.818172011586976,0.0709220338892568,0.0706994469304377
sym,700,1993-01-09T00:00:00Z,-1.2716257668061,0.21239440174018,0.212205708496706
